Cycle_Index,Discharge Time (s),Decrement 3.6-3.4V (s),Max. Voltage Dischar. (V),Min. Voltage Charg. (V),Time at 4.15V (s),Time constant current (s),Charging time (s),RUL
1,3283.5264706937724,1110.5658445542922,4.023437023162842,3.6793301105499268,150.07651639361393,5939.808896172342,7785.444451948491,1034
2,3280.3689117809445,1110.5503318371593,4.022950649261475,3.5716545581817627,120.0612554946747,5992.0601446573255,7927.210235985682,1033
3,3262.086138846964,1140.580199471755,4.0185723304748535,3.572303295135498,150.07637291547144,5961.52532923887,8059.812998885791,1032
4,3293.9517634985023,1050.5210406260157,4.027004718780518,3.5943572521209717,150.07678809182107,5973.4315267338825,7907.802510905916,1031
5,3300.3443207548844,1020.5220232283609,4.030085563659668,3.5465195178985596,120.06136407069425,6051.334164248452,7982.675628031502,1030
6,3278.4799909288995,1110.5656120689819,4.02976131439209,3.538573741912842,150.0767951243688,6071.367626244253,7995.6314017284385,1029
7,3258.226914825078,1140.5801230409852,4.017923831939697,3.578789710998535,150.07624702123576,5943.835841741558,8052.0764253228845,1028
8,3264.5868834251596,1110.5651871382724,4.019058704376221,3.5922491550445557,150.0763168354897,5925.064814118785,7996.493325354153,1027
9,3255.0393096321204,1140.5644692316419,4.017761707305908,3.578465461730957,120.06111414683983,5927.463774349017,7901.1121073563845,1026
10,3257.7271169075975,1140.5646332360193,4.018248081207275,3.59306001663208,150.07643527112668,5898.30280041472,7900.263566004607,1025
11,3268.0425185370405,1110.566215625542,4.0185723304748535,3.586411476135254,150.0764229704073,5888.846061705539,7892.4317592756415,1024
12,3281.6856219270558,1050.536572375655,4.026356220245361,3.5669519901275635,150.0767975654453,5983.689112734413,7900.482067335295,1023
13,3286.6871441409457,1050.5211196833989,4.028139591217041,3.553330421447754,150.07664960611146,6009.830929178832,7855.613074730616,1022
14,3250.039781119791,1140.5646683687519,4.0184102058410645,3.547006130218506,150.07637548688217,5958.891588002705,7996.492789854645,1021
15,3248.5864019066794,1140.5803063084022,4.017436981201172,3.597276210784912,150.07622763785184,5887.2548718079925,7917.762027368997,1020
16,3255.5718175638467,1110.565312872117,4.018734455108643,3.595005989074707,150.07625649488182,5892.451731311041,7819.5073038451665,1019
17,3249.306238208839,1110.5650727226457,4.018734455108643,3.5818707942962646,150.07639014348388,5912.065798516618,7907.5279611236765,1018
18,3247.805670200236,1140.580437490862,4.018734455108643,3.591276168823242,120.06109857797856,5904.117062203353,7905.37495421269,1017
19,3278.123720247473,1050.5207667273353,4.0268425941467285,3.5917627811431885,150.0765881978441,5951.039237051475,7875.7541209216,1016
20,3282.6255539269187,1020.5217931088991,4.02976131439209,3.5483033657073975,150.07672649802407,6015.8994244105415,7849.632123926247,1015
21,3251.3222893776547,1110.5653088269755,4.022140026092529,3.54489803314209,120.06126226662309,6019.0404985692585,7857.755618943978,1014
22,3240.7892221464135,1140.5799137435679,4.017112731933594,3.5894923210144043,150.07645499531645,5886.85091249508,7941.5763482192415,1013
23,3237.4150307255914,1140.5803332857904,4.017923831939697,3.5963032245635986,150.07624058012152,5884.65783087298,7951.821281646204,1012
24,3242.7747489116737,1110.5498057138757,4.016626358032227,3.6018166542053223,150.07635234412737,5862.696101090114,7933.640256313374,1011
25,3270.1536787043137,1080.5388632419913,4.0122480392456055,4.19970703125,0.0,0.0,1015.8296608702333,1010
26,3245.8092783102584,1170.585609441574,4.0143561363220215,3.5674383640289307,150.07511478101333,5886.929158290637,7391.570605300698,1009
27,3276.483458417675,1050.52721975647,4.022464275360107,3.585114002227783,150.07516214387215,5894.805194204193,7937.734892007957,1008
