Cycle_Index,Discharge Time (s),Decrement 3.6-3.4V (s),Max. Voltage Dischar. (V),Min. Voltage Charg. (V),Time at 4.15V (s),Time constant current (s),Charging time (s),RUL,Is_NASA
1.0,0.909368005924524,2.2485054081492892,-2.8080543990646523,-3.115604635332412,2.0057047874774487,1.8670788451027185,2.297201844667646,1112,0
2.0,5.241827595299611,2.317965395933501,4.102902038051252,-3.0398313334064335,2.0450619914731756,1.8715259156457504,2.03999703813817,1111,0
3.0,5.228434193069578,2.1213190297372155,4.138896602827888,-3.006154310328222,2.045062794828979,1.8715259156457504,1.9658676966664343,1110,0
4.0,5.220999414681133,2.0133780853771244,4.150894791086774,-2.99773505455867,2.039457781412669,1.8715259156457504,1.87542378210601,1109,0
6.0,57.099955912187895,96.94323836481928,4.630822321442046,-1.541203806426028,2.022568029074371,31.33988344361387,44.8651025208831,1107,0
7.0,1.5447265251540163,2.3897333719474787,-2.760061646029125,-0.6487626948534277,1.6551465349879178,1.373758521796315,-2.1526350438477224,1106,0
8.0,3.9336846385123514,2.475303727879034,1.307324173731794,-0.6740204621620872,1.6502150258613557,1.3675224728037323,-2.1617471037035076,1105,0
9.0,3.929994252145206,2.475303727879034,1.3193223619906798,-0.6740204621620872,1.65021582921717,1.3641348327609664,-2.166697093492917,1104,0
10.0,3.924809709346483,2.464683808880742,1.3193223619906798,-0.6740204621620872,1.644188786220594,1.3595037892568105,-2.1734639334672035,1103,0
12.0,1.479379683628458,2.195184141049065,-2.580088822145897,-0.8087285544749329,1.662731865394082,1.369006944283147,-2.159578007054216,1101,0
13.0,3.9918307261507944,1.9405582794979608,1.6912661980160109,-0.8929211121704594,1.6794152788850545,1.3759091022729026,-2.1494926345993894,1100,0
14.0,3.997852356588894,1.911511293696411,1.7152625745337715,-0.8760826006313557,1.6734597242553044,1.3670593684533168,-2.162423787700937,1099,0
15.0,3.981182611340225,1.9639902382475265,1.6912661980160109,-0.8508248333226962,1.6627319271906635,1.3592246578675191,-2.1738717977944204,1098,0
17.0,0.6087725349069554,1.3621224204853284,1.6072788802038425,2.693681845659049,-0.8143448012786368,-0.5641048044653217,-2.066677636886688,1096,0
18.0,0.6070803577434835,1.3621191166429103,1.6552716332393642,-1.7516852006648482,1.781870581070106,1.490486193681888,0.9374934134509482,1095,0
19.0,0.6045150891711992,1.3462639757855834,1.6552716332393642,-1.7432659448952963,1.7818689743584295,1.486039123138856,0.924200744241186,1094,0
20.0,0.6011127329595377,1.3304088349290255,1.66726982149825,-1.7432659448952963,1.7762125461709528,1.4815730209101907,0.8750160142363065,1093,0
21.0,0.5991235246982225,1.3145503902292806,1.679268009757125,-1.7432659448952963,1.7649294139606069,1.477106918681525,0.8768235947773836,1092,0
22.0,0.5973053343417263,1.31453717485807,1.679268009757125,-1.7348466891257444,1.76495512134593,1.4726979115097605,0.8794098253976921,1091,0
23.0,0.5941099998043198,1.2986886416871175,1.679268009757125,-1.7432659448952963,1.7594063428357103,1.4682952482332066,0.8492464044712175,1090,0
24.0,0.591841762329879,1.2907395962815829,1.679268009757125,-1.7264274333561926,1.7537458978693234,1.4638291460045412,0.8259239806694314,1089,0
25.0,0.5891684824492877,1.2828169816177002,1.679268009757125,-1.7180081775866407,1.748122407269619,1.4593884193567206,0.8155512492567922,1088,0
26.0,0.5871792741879724,1.2748910631098611,1.679268009757125,-1.7180081775866407,1.742404120685507,1.4548905976519997,0.8172012458532609,1087,0
27.0,0.5861981714708534,1.274887759266674,1.6912661980160109,-1.7180081775866407,1.7368561455308449,1.450494278270657,0.833043067108131,1086,0
28.0,0.5845059943073816,1.2590425299381394,1.6912661980160109,-1.709588921817085,1.7312519354705074,1.4460662394132584,0.8127240078976717,1085,0
29.0,0.5825077851037073,1.2590425299381394,1.6912661980160109,-1.709588921817085,1.7255963106389622,1.4416064810798044,0.7841735049924651,1084,0
30.0,0.5812656550581804,1.2511430421719525,1.6912661980160109,-1.7180081775866407,1.7255465025792436,1.441555729918115,0.7764797006381404,1083,0
31.0,0.5798075023960395,1.2510934845326047,1.6912661980160109,-1.7180081775866407,1.7199977240688369,1.4371974739080395,0.7711774643843151,1082,0
32.0,0.5784393591574879,1.2430915776453042,1.6912661980160109,-1.709588921817085,1.7143621831322158,1.437172098327195,0.7817633976043629,1081,0
33.0,0.5773052404202677,1.243193996767187,1.6912661980160109,-1.7180081775866407,1.7087515462253604,1.4327440594697962,0.7879555196630249,1080,0
34.0,0.5750550048305446,1.2352449513616524,1.6912661980160109,-1.709588921817085,1.708712985147001,1.4282652694507088,0.7727440341865819,1079,0
35.0,0.5739208860933239,1.2193964181891614,1.6912661980160109,-1.701169666047533,1.7031272522697247,1.4238626061741548,0.7534075572189636,1078,0
36.0,0.5724807353159013,1.227345463594696,1.7032643862748966,-1.709588921817085,1.6974290495807234,1.4193711283646446,0.7531758161239538,1077,0
37.0,0.5717336571001133,1.2193964181891614,1.7032643862748966,-1.709588921817085,1.6974917113332908,1.4194345673167568,0.7754415005324957,1076,0
38.0,0.5701314893602303,1.2114473727836268,1.7032643862748966,-1.583300085273795,1.691843316703634,1.414949433402458,0.7429050507931195,1075,0
39.0,0.5687633461216787,1.2035478850166703,1.7032643862748966,-1.701169666047533,1.6862696341634615,1.4105404262306926,0.753268512561958,1074,0
40.0,0.5670351651887713,1.1718012610346489,1.4513024328383806,0.1931628821018572,1.6572982139493335,1.3874740232428695,0.8464655113310999,1073,0
41.0,0.571337615636322,1.1797503064401835,1.643273444980489,0.883541855205189,1.6524780791495872,1.3883050735155336,0.8108978880689951,1072,0
42.0,0.5738128747850173,1.2034983273788613,1.6912661980160109,-1.6759118987388737,1.6833952271114163,1.4104896750690032,0.7652448923520646,1071,0
43.0,0.5720396891403158,1.1956517010952097,1.6912661980160109,-1.701169666047533,1.6918931247631654,1.4194345673167568,0.793572923806062,1070,0
