Cycle_Index,Discharge Time (s),Decrement 3.6-3.4V (s),Max. Voltage Dischar. (V),Min. Voltage Charg. (V),Time at 4.15V (s),Time constant current (s),Charging time (s),RUL,Is_NASA
1.0,-1.0913898888252438,-1.2254648593508035,-0.8582166789400342,0.3041625440147611,0.4485067159810349,0.6736229865855216,0.3618915745300716,24,1
2.0,-0.0392603804543675,0.0132323731649639,0.0278320881207463,0.5663977334053324,0.4846305006594049,0.4075455720199157,0.3613652937080335,23,1
3.0,-0.0649835301038188,0.0966774968227574,0.1088080375374076,0.3847888659823381,0.4066899237547347,0.4168068508555813,0.362041665587179,22,1
4.0,-0.1267385764970849,0.2990187777715387,0.1101641124532034,0.8082030370299378,-4.600668856021688,-0.1342237402113102,-8.440053189040917,21,1
5.0,0.9674898543177546,1.6380322958727611,0.8697491553086952,0.8030852842636218,0.9826413830130548,-0.5966592414285072,0.3614249452820169,20,1
6.0,1.5901683479434388,-0.6894150623878644,0.0667442886838523,0.8622584963453934,0.9615873241968448,-0.8302991654297179,0.3600125499497565,19,1
7.0,-0.4175920483919921,-0.6238425422857886,0.1117654856761428,0.8128052256444696,0.8657576703152585,-0.9081647363767882,0.3616500818676755,18,1
8.0,-0.3751553472152584,-0.8054524167812601,0.1111645241752156,0.8359416120811114,0.933400601214119,-0.9293879915481236,0.3608996265821435,17,1
9.0,-0.4312829133106354,-0.7412725264432002,0.1111501672107025,0.829112263229159,0.9173494198575554,-1.0021903417908389,0.3601318530977129,16,1
10.0,-0.1761560381510772,-0.8632981888218638,0.108449026511737,0.9268352380797183,1.0280191333588105,-1.2938797623869167,0.3617405213508047,15,1
11.0,-0.9264253958348424,-0.9238102991971676,0.0543720855700608,0.5632674142161839,0.7905838362481185,-0.9838124475682032,0.3599817620406072,14,1
12.0,-0.4054464490008315,-0.9370872245316332,0.1075185170731641,0.8552763578519575,0.9873082463149634,-1.1898441978215473,0.3615153847651445,13,1
13.0,-0.2620889686663121,-0.8409034504144541,0.1052442284726776,0.875603532309112,1.018297350000437,-1.31125816369129,0.362372635610545,12,1
14.0,-0.9605728048195464,-0.8991654466317186,0.107332990512408,0.5438635061833988,0.8332927064655831,-1.052166866450042,0.3613046800118994,11,1
15.0,-1.029308611690071,-0.9644938653369556,0.1008616316787811,0.8990643659431004,1.049161438317456,-1.4167178177905744,0.3605984823457693,10,1
16.0,-1.0712032790456278,-1.0271559457074928,0.0293559746944982,0.5787929376613088,0.8451635096644367,-1.0767521377439908,0.3629883937935442,9,1
18.0,-0.9571567647721037,-1.0085025306324,0.0475828153076255,0.5419818425553079,0.8298194288081621,-1.086615554700527,0.3625679464092118,7,1
19.0,-0.6641034006176137,-1.0075245602925011,0.0968066719709271,0.8591360130245149,0.988077005978878,-1.2975639834634438,0.3629441361741407,6,1
20.0,-1.1077310176471635,-1.005787684968841,0.1011121244664178,0.9136330697365652,1.0489674099401771,-1.4271965240905895,0.3601174212652994,5,1
21.0,-1.0284634431087154,-1.005177431476744,0.025425256286739,0.5304690460421803,0.8572192903541664,-1.114767625440568,0.3601029894328841,4,1
22.0,-1.1491190169035648,-1.0502861178105063,0.0959375214741548,0.591014753831133,0.874940925932614,-1.1431254188771314,0.3604474291665007,3,1
23.0,-1.0741133727433436,-1.0161792066124693,0.1011298937653558,0.5566267371175294,0.8723778280391654,-1.1495103374536622,0.3615153847651445,2,1
24.0,-1.1627196631435834,-1.0651512669769676,0.0928716067000935,0.5928472392744764,0.8790596449266977,-1.159578537733677,0.3612748542249095,1,1
25.0,-1.0945475425771054,-1.0303355228765716,0.0989228682854761,0.8902412878460192,1.060113010865935,-1.4867443206898068,0.3636205080532809,0,1
