cycle,Discharge Time (s),Decrement 3.6-3.4V (s),Max. Voltage Dischar. (V),Min. Voltage Charg. (V),Time at 4.15V (s),Time constant current (s),Charging time (s),RUL
1,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1064
2,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1063
3,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1062
4,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1061
5,1.0,1.0,0.0,0.20105330581453362,0.9735982181894345,0.9619559794363544,0.0,1060
6,1.0,1.0,0.9900990099009892,0.18504021066116305,0.9766135913623235,0.9621672276411068,0.0,1059
7,1.0,1.0,0.9966996699669952,0.18859867625080096,0.9735908706852618,0.9587147692359819,0.0,1058
8,1.0,1.0,0.9900990099009892,0.19215714184043797,0.9704580481310146,0.9561031615282061,0.0,1057
9,1.0,1.0,0.9570957095709538,0.9501103124332797,0.25638075821239376,0.31523409801179403,0.0,1056
10,1.0,1.0,0.9669966996699646,0.010675396768912826,0.9994584381031137,0.99515094243416,0.8019827758304867,1055
11,0.9997618093227749,1.0,0.9702970297029694,0.007116931179275809,0.9994584381031402,0.993701199852524,0.7991271054737217,1054
12,0.998879870975786,1.0,0.9702970297029694,0.007116931179275809,0.9978792296327132,0.9922555993925495,0.7973963961665915,1053
13,0.9975805266935809,1.0,0.9735973597359724,0.005337698384455969,0.9978722129403645,0.9922493862100568,0.7998269140196488,1052
14,0.9960994088589428,1.0,0.9735973597359724,0.005337698384455969,0.9967934530765334,0.9912614901937133,0.790774551861051,1051
15,0.9945846292553358,0.9999990455244807,0.9768976897689736,0.0035584655896379047,0.9947088164114917,0.9908058568109133,0.794615974040572,1050
16,0.9927130349006568,0.9932657821202187,0.9768976897689736,0.0035584655896379047,0.9931277971817658,0.9879084427084721,0.7895442432883732,1049
17,0.9906260052245761,0.9865339223563443,0.9801980198019784,0.007116931179275809,0.9899483301639187,0.9864504158835123,0.7794083066070505,1048
18,0.9885591726098766,0.9797894298279992,0.9801980198019784,0.007116931179275809,0.9883623313460945,0.9849986022410451,0.7770605618078132,1047
19,0.9872867577428466,0.9764220963054291,0.9801980198019784,0.007116931179275809,0.9867831228757202,0.9821032591994348,0.7802360371452433,1046
20,0.9857787104930331,0.9730561664237372,0.9801980198019784,0.008896163974094762,0.9852039144053462,0.9806576587394604,0.7716652636634116,1045
21,0.9843783809039208,0.9696790074177988,0.9801980198019784,0.008896163974094762,0.9836106725502218,0.9791975608536698,0.7607542702054175,1044
22,0.982957854253427,0.9663004447714725,0.9834983498349796,0.010675396768912826,0.9820298796654214,0.9792037740361625,0.7659351108921966,1043
23,0.9811939775594491,0.9629457440133733,0.9834983498349796,0.010675396768912826,0.9804524819543723,0.9763125731162139,0.7529246917964225,1042
24,0.9797734509089553,0.9562124806089478,0.9834983498349796,0.012454629563731778,0.978875084243297,0.9748649015954087,0.7565817558106191,1041
25,0.9787097390095334,0.9562138842494989,0.9834983498349796,0.01423386235855073,0.9772802579737991,0.9734048037096179,0.7567510643297952,1040
26,0.9771411005755759,0.9494567589568466,0.9834983498349796,0.01423386235855073,0.975681583840752,0.9719488479454892,0.7480448440326226,1039
27,0.9757407709864636,0.9494806208450735,0.9834983498349796,0.016013095153369683,0.9741078076483269,0.9705032474855146,0.7429580636342759,1038
28,0.9746501296718666,0.9461020581987474,0.9834983498349796,0.017792327948188635,0.9725233932449027,0.9705053185463457,0.7389661449932645,1037
29,0.9732363353751665,0.942747357440648,0.9834983498349796,0.017792327948188635,0.9709140809008301,0.9690327942955694,0.7350532369945357,1036
30,0.9716946263563842,0.9359916357885469,0.9801980198019784,0.017792327948188635,0.969361581130403,0.967614117626397,0.7332811411604956,1035
31,0.9705568585652302,0.9359691775407077,0.9801980198019784,0.019571560743007588,0.9693579596117792,0.9661643750447608,0.7270468252432902,1034
32,0.9705770556266118,0.9325920185349328,0.924092409240922,0.40210661162906636,0.9619983547078705,0.9600795983235508,0.7540534152575944,1033
33,0.9753502944664227,0.9326355313898964,0.9768976897689736,0.5408867696249384,0.9629956304023595,0.9632441792731794,0.7547118372766115,1032
34,0.9741317384297432,0.9326355313898964,0.9801980198019784,0.023130026332645492,0.9709459955338273,0.969063860208033,0.742728556530504,1031
35,0.9715869086956832,0.9292583723841215,0.9801980198019784,0.021350793537825652,0.969326271323681,0.9675809806531024,0.7404711096081602,1030
36,0.9696075966803033,0.9292583723841215,0.9801980198019784,0.023130026332645492,0.9677701500346301,0.9661560908014373,0.7304781445652528,1029
37,0.9677561993870056,0.9191268953667964,0.9801980198019784,0.024909259127464445,0.966185735631206,0.9647063482198011,0.7411408188617892,1028
38,0.9659048020937082,0.9225461635868204,0.9768976897689736,0.02846772471710146,0.9629956304023595,0.9617882235090505,0.7114779663021937,1027
