Cycle_Index,Discharge Time (s),Decrement 3.6-3.4V (s),Max. Voltage Dischar. (V),Min. Voltage Charg. (V),Time at 4.15V (s),Time constant current (s),Charging time (s),RUL,Is_New,cell_id,Cycle
1.0,2604.0,1186.4955,3.666,3.213,5424.991,6706.02,10772.99,1064,0,,
2.0,7384.99,1228.4959999999992,4.242,3.221,5488.0,6727.01,10492.99,1063,0,,
3.0,7364.0,1165.5190000000002,4.244,3.225,5480.989000000001,6720.0,10367.01,1062,0,,
4.0,7356.99,1141.027000000002,4.246,3.227,5481.026999999995,6720.0,10311.01,1061,0,,
5.0,64974.56,1143.3286666666536,4.288,3.389,5460.0,53233.86,56789.86,1060,0,,
6.0,3328.29,1150.7197857142892,3.687,3.498,5024.996499999979,5970.88,5970.88,1059,0,,
7.0,6026.4,1190.3641904761898,4.024,3.489,5040.0,5974.37,5974.37,1058,0,,
8.0,6030.05,1193.5779047618853,4.026,3.491,5024.997333333333,5955.68,5955.68,1057,0,,
9.0,6007.93,1209.319356321881,4.024,3.495,5009.994666666666,5940.23,5940.23,1056,0,,
10.0,2250.94,760.8000000000466,3.996,3.914,1863.3279999999795,2843.33,6276.9,1055,0,,
11.0,2250.24,765.5999999999767,4.0,3.412,5097.343999999925,6077.34,9477.79,1054,0,,
12.0,2247.87,760.7989999999991,4.0,3.412,5097.407999999938,6077.41,9477.73,1053,0,,
13.0,2246.75,760.7999999999302,4.001,3.411,5090.398000000045,6070.4,9486.82,1052,0,,
14.0,2244.99,760.8320000000531,4.002,3.41,5090.367000000086,6070.37,9490.14,1051,0,,
15.0,2242.37,758.3979999999283,4.002,3.41,5083.32799999998,6063.33,9467.42,1050,0,,
16.0,2240.0,756.0,4.003,3.41,5076.320000000065,6056.32,9448.51,1049,0,,
17.0,2237.34,753.6010000000242,4.002,3.41,5069.343999999925,6049.34,9456.7,1048,0,,
18.0,2234.47,748.7970000000205,4.003,3.411,5062.335999999894,6035.33,9437.15,1047,0,,
19.0,2232.1,746.3990000000922,4.003,3.412,5055.389999999898,6028.38,9464.16,1046,0,,
20.0,2228.83,744.0,4.003,3.413,5041.342999999877,6021.34,9407.94,1045,0,,
21.0,2226.44,739.2029999999795,4.004,3.413,5037.746000000043,6014.24,9394.82,1044,0,,
22.0,2225.38,739.2029999999795,4.004,3.413,5027.359000000055,6007.36,9420.7,1043,0,,
23.0,2222.94,734.405999999959,4.004,3.414,5020.3129999999655,6000.31,9387.17,1042,0,,
24.0,2221.09,734.390000000014,4.004,3.413,5013.375,5993.38,9400.92,1041,0,,
25.0,2218.02,729.6100000001024,4.004,3.414,5006.375,5986.38,9381.5,1040,0,,
26.0,2216.39,729.5939999999246,4.004,3.415,4999.358999999822,5979.36,9386.84,1039,0,,
27.0,2213.72,724.7970000001369,4.004,3.415,4992.344000000157,5972.34,9386.08,1038,0,,
28.0,2212.42,722.4070000001229,4.004,3.417,4985.344000000157,5958.33,9360.03,1037,0,,
29.0,2209.7,722.3899999998976,4.004,3.416,4978.375,5958.38,9344.7,1036,0,,
30.0,2208.45,720.0,4.004,3.417,4971.2970000000205,5951.3,9319.2,1035,0,,
31.0,2206.5,717.609999999986,4.003,3.416,4971.32799999998,5951.33,9322.81,1034,0,,
32.0,2205.0,715.1870000000345,4.004,3.417,4964.359000000055,5944.36,9320.27,1033,0,,
33.0,2202.78,708.0,3.986,3.627,4928.313000000198,5908.0,9353.44,1032,0,,
34.0,2209.66,712.8119999998016,4.002,3.713,4936.375,5923.38,9367.03,1031,0,,
35.0,2207.69,712.8119999998016,4.002,3.42,4971.375,5951.38,9320.59,1030,0,,
36.0,2204.69,710.405999999959,4.003,3.419,4964.311999999802,5944.31,9316.19,1029,0,,
37.0,2201.41,708.0,4.002,3.42,4957.342999999877,5937.34,9302.78,1028,0,,
38.0,2198.25,705.594000000041,4.002,3.421,4943.25,5923.25,9312.19,1027,0,,
39.0,2196.12,705.5929999998771,4.002,3.422,4936.25,5916.25,9305.22,1026,0,,
40.0,2193.84,703.188000000082,4.002,3.422,4929.280999999959,5909.28,9282.28,1025,0,,
41.0,2191.59,700.813000000082,4.002,3.422,4929.280999999959,5909.28,9265.94,1024,0,,
42.0,2189.66,700.811999999918,4.002,3.423,4915.311999999918,5895.31,9238.84,1023,0,,
43.0,2187.84,696.0,4.002,3.424,4915.311999999918,5895.31,9255.22,1022,0,,
44.0,2185.34,696.0,4.002,3.423,4908.344000000041,5888.34,9264.03,1021,0,,
45.0,2182.81,693.594000000041,4.001,3.424,4901.342999999877,5874.31,9248.09,1020,0,,
46.0,2181.41,691.188000000082,4.001,3.425,4887.342999999877,5867.34,9246.31,1019,0,,
47.0,2179.72,691.219000000041,4.001,3.426,4887.375,5867.38,9218.34,1018,0,,
48.0,2177.88,691.219000000041,4.001,3.426,4880.217999999877,5860.22,9223.19,1017,0,,
49.0,2176.31,691.186999999918,4.001,3.427,4880.405999999959,5860.41,9202.78,1016,0,,
50.0,2174.53,688.780999999959,4.001,3.427,4873.375,5853.38,9197.47,1015,0,,
51.0,2172.5,684.0320000001229,4.001,3.428,4866.469000000041,5846.47,9199.84,1014,0,,
52.0,2170.81,684.0,4.001,3.428,4859.313000000082,5839.31,9204.31,1013,0,,
53.0,2169.56,681.563000000082,4.001,3.429,4852.311999999918,5832.31,9191.75,1012,0,,
54.0,2167.62,681.625,4.0,3.43,4852.311999999918,5825.38,9162.25,1011,0,,
55.0,2167.0,681.625,4.0,3.43,4845.375,5825.38,9185.19,1010,0,,
56.0,2165.38,679.188000000082,4.0,3.431,4838.311999999918,5818.31,9164.25,1009,0,,
57.0,2161.69,672.0,3.981,3.643,4802.375,5775.0,9236.38,1008,0,,
58.0,2164.99,663.6000000000931,3.959,3.385,5141.951999999816,6128.35,9697.09,1007,0,,
59.0,2165.34,674.3999999999069,3.963,3.436,4856.19299999997,5804.19,9288.58,1006,0,,
60.0,2163.43,672.0,3.963,3.435,4861.089000000153,5804.29,9263.11,1005,0,,
61.0,2161.82,672.0,3.964,3.436,4853.921000000089,5804.32,9257.22,1004,0,,
62.0,2159.3,672.0,3.964,3.435,4850.351000000024,5804.35,9238.53,1003,0,,
63.0,2157.22,672.0,3.964,3.436,4839.587000000058,5804.39,9229.09,1002,0,,
64.0,2154.95,672.0,3.964,3.437,4832.319999999832,5804.32,9232.44,1001,0,,
65.0,2153.02,669.6000000000931,3.964,3.437,4825.121000000043,5804.32,9243.04,1000,0,,
66.0,2150.46,672.0,3.963,3.437,4817.89000000013,5768.29,9213.19,999,0,,
67.0,2149.48,669.6000000000931,3.964,3.438,4814.351999999955,5768.35,9239.07,998,0,,
68.0,2147.68,669.6000000000931,3.965,3.439,4810.618000000017,5768.22,9237.85,997,0,,
69.0,2145.62,669.6000000000931,3.965,3.439,4803.550999999978,5768.35,9213.76,996,0,,
70.0,2143.14,665.6000000000931,3.965,3.439,4796.312999999849,5768.31,9193.88,995,0,,
71.0,2141.06,663.6000000000931,3.965,3.439,4789.158999999985,5732.36,9177.59,994,0,,
72.0,2139.0,663.6000000000931,3.965,3.44,4781.913000000175,5732.31,9202.91,993,0,,
73.0,2136.2,664.0,3.965,3.441,4774.774999999907,5732.38,9180.34,992,0,,
74.0,2134.91,660.0,3.965,3.442,4767.543999999994,5732.34,9180.28,991,0,,
75.0,2132.97,660.0,3.965,3.443,4760.344000000041,5732.34,9150.11,990,0,,
76.0,2131.3,660.0,3.965,3.443,4760.3910000000615,5732.39,9163.33,989,0,,
77.0,2129.75,660.0,3.965,3.443,4753.160000000149,5696.36,9173.38,988,0,,
78.0,2126.81,656.3999999999069,3.964,3.444,4745.944000000134,5696.34,9125.47,987,0,,
79.0,2125.59,656.3999999999069,3.964,3.445,4738.758999999845,5696.36,9129.25,986,0,,
80.0,2123.23,652.8000000000466,3.964,3.445,4731.543999999994,5696.34,9096.53,985,0,,
81.0,2128.75,648.0,3.976,3.666,4697.312000000151,5670.0,9171.19,984,0,,
82.0,2126.53,648.0,3.961,3.758,4688.343999999808,5660.34,9172.62,983,0,,
83.0,2126.25,651.1999999999534,3.963,3.448,4731.543999999994,5696.34,9169.56,982,0,,
84.0,2123.41,651.1999999999534,3.963,3.447,4731.543999999762,5696.34,9161.28,981,0,,
85.0,2120.5,649.1999999999534,3.963,3.448,4724.375,5696.38,9121.53,980,0,,
86.0,2118.56,648.0,3.963,3.448,4717.175000000047,5660.38,9100.47,979,0,,
87.0,2116.88,649.6000000000931,3.963,3.448,4709.913000000175,5660.31,9099.97,978,0,,
88.0,2114.81,645.6000000000931,3.963,3.449,4702.681000000099,5660.28,9104.19,977,0,,
89.0,2112.84,645.6000000000931,3.963,3.449,4695.543999999994,5660.34,9112.34,976,0,,
90.0,2110.44,648.0,3.962,3.45,4688.375,5660.38,9063.0,975,0,,
91.0,2108.59,644.0,3.962,3.45,4682.311999999918,5660.31,9079.28,974,0,,
92.0,2106.31,642.0,3.962,3.451,4676.333666666644,5624.31,9089.97,973,0,,
93.0,2104.34,642.3999999999069,3.962,3.452,4673.912000000011,5624.31,9058.28,972,0,,
94.0,2102.78,642.3999999999069,3.962,3.453,4666.712999999756,5624.31,9059.75,971,0,,
95.0,2101.44,638.3999999999069,3.962,3.453,4659.449999999953,5624.25,9038.56,970,0,,
96.0,2099.97,640.0,3.962,3.453,4659.512999999803,5624.31,9064.19,969,0,,
97.0,2097.5,636.8000000000466,3.961,3.454,4652.25,5624.25,9035.22,968,0,,
98.0,2096.12,638.0,3.961,3.454,4645.175000000047,5624.38,9057.09,967,0,,
99.0,2095.09,636.0,3.962,3.455,4637.912999999942,5588.31,9071.66,966,0,,
100.0,2092.69,635.1999999999534,3.961,3.455,4634.406000000192,5588.41,9047.91,965,0,,
101.0,2091.75,635.1999999999534,3.961,3.456,4630.774999999907,5588.38,9074.5,964,0,,
102.0,2089.44,631.2000000001863,3.961,3.457,4623.512000000104,5588.31,9024.38,963,0,,
103.0,2080.06,624.0,3.957,3.458,4594.712999999989,5552.31,9048.69,962,0,,
104.0,2086.56,619.188000000082,3.971,3.685,4543.375,5523.0,9072.94,961,0,,
105.0,2102.5,624.0,3.952,3.409,4976.351999999955,5984.35,9633.06,960,0,,
106.0,2103.49,628.7999999998137,3.954,3.459,4652.320999999996,5624.32,9148.93,959,0,,
107.0,2102.11,630.3999999999069,3.954,3.458,4652.385000000242,5624.39,9136.03,958,0,,
108.0,2100.03,630.0,3.955,3.458,4652.350999999791,5624.35,9111.1,957,0,,
109.0,2097.99,630.0,3.955,3.459,4645.150999999605,5588.35,9111.88,956,0,,
110.0,2095.68,630.0,3.956,3.459,4637.9509999998845,5588.35,9101.76,955,0,,
111.0,2092.61,628.0,3.956,3.459,4630.720999999903,5588.32,9111.07,954,0,,
112.0,2089.82,628.0,3.955,3.46,4623.582000000402,5588.38,9114.12,953,0,,
113.0,2086.91,624.0,3.955,3.46,4616.352000000421,5552.35,9077.34,952,0,,
114.0,2084.52,624.0,3.956,3.461,4601.9199999999255,5552.32,9090.37,951,0,,
115.0,2082.56,624.0,3.956,3.463,4594.751999999862,5552.35,9092.89,950,0,,
116.0,2080.09,624.0,3.956,3.463,4587.489000000525,5552.29,9067.2,949,0,,
117.0,2077.77,624.0,3.956,3.463,4580.375,5552.38,9077.78,948,0,,
118.0,2075.45,620.0,3.957,3.463,4573.191000000108,5516.39,9062.31,947,0,,
119.0,2072.45,620.3999999999069,3.957,3.464,4565.912000000011,5516.31,9040.8,946,0,,
120.0,2070.14,618.3999999999069,3.957,3.465,4556.282000000123,5516.28,9070.59,945,0,,
121.0,2067.23,616.0,3.956,3.466,4544.313000000082,5516.31,9061.5,944,0,,
122.0,2065.03,616.7875999999233,3.956,3.467,4537.174999999814,5480.38,9054.66,943,0,,
123.0,2063.27,616.7999999998137,3.957,3.468,4529.9280000003055,5480.33,9038.28,942,0,,
