Cycle_Index,Discharge Time (s),Decrement 3.6-3.4V (s),Max. Voltage Dischar. (V),Min. Voltage Charg. (V),Time at 4.15V (s),Time constant current (s),Charging time (s),RUL,Is_NASA
1.0,2590.02,1189.984,3.664,3.226,5404.001,6706.02,10909.09,1111,0
2.0,7356.99,1232.0,4.24,3.239,5446.016000000003,6699.01,10598.02,1110,0
3.0,7329.02,1152.651333333335,4.243,3.243,5431.999999999993,6684.99,10479.01,1109,0
4.0,7322.01,1127.007000000005,4.244,3.241,5439.004000000001,6692.0,10395.0,1108,0
6.0,64837.43,1127.0080000000016,4.288,3.246,5432.0,107572.09,107572.09,1106,0
7.0,756268.51,3982.5,4.363,3.022,245101.117,781675.05,781675.05,1105,0
8.0,7164.58,1091.614967741887,4.205,3.495,4988.562285714317,5919.55,5919.55,1104,0
9.0,5941.98,994.6560000000754,4.05,3.496,4962.84171428578,5889.54,5889.54,1103,0
10.0,5920.38,1020.8466285715112,4.048,3.502,4943.58735714294,5875.2,5875.2,1102,0
11.0,5911.52,1024.704457142856,4.047,3.503,4937.130000000005,5870.72,5870.72,1101,0
12.0,418514.37,249542.547,4.271,3.129,215226.997,425033.84,425033.84,1100,0
13.0,2216.67,840.0,4.034,3.9,1919.3919999999923,2899.39,6164.26,1099,0
14.0,2212.0,835.1990000000224,4.035,3.396,5048.384000000078,6021.41,9297.63,1098,0
15.0,2208.54,828.0,4.035,3.399,5034.2380000001285,6007.23,9289.86,1097,0
16.0,2204.73,823.2029999997467,4.035,3.401,5027.329000000143,6000.32,9251.68,1096,0
17.0,2202.24,818.3989999999758,4.036,3.402,5013.375,5986.37,9251.24,1095,0
18.0,2199.0,816.0,4.036,3.403,5006.368000000017,5979.36,9231.27,1094,0
19.0,2196.61,813.6019999999553,4.036,3.404,4999.32799999998,5972.32,9220.42,1093,0
20.0,2193.82,813.6010000000242,4.036,3.405,4992.311999999685,5965.34,9217.24,1092,0
21.0,2191.36,808.8040000000037,4.035,3.405,4985.375,5958.37,9193.28,1091,0
22.0,2189.66,806.3980000000447,4.035,3.406,4978.367000000319,5951.36,9196.64,1090,0
23.0,2187.58,804.0,4.035,3.407,4971.35999999987,5944.35,9174.75,1089,0
24.0,2186.24,804.0,4.035,3.407,4964.351999999955,5937.38,9189.6,1088,0
25.0,2184.88,801.5940000002738,4.035,3.407,4957.375,5930.36,9181.44,1087,0
26.0,2183.72,801.5939999998081,4.035,3.407,4957.344000000041,5930.34,9186.59,1086,0
27.0,2181.53,799.2030000002123,4.035,3.407,4950.375,5923.36,9160.45,1085,0
28.0,2179.97,796.7970000000205,4.035,3.409,4943.360000000102,5916.38,9140.56,1084,0
29.0,2179.0,796.7970000002533,4.035,3.408,4936.34300000011,5909.38,9143.75,1083,0
30.0,2177.59,792.0,4.035,3.408,4936.34300000011,5909.38,9147.42,1082,0
31.0,2176.36,794.3899999998976,4.036,3.409,4929.375,5902.36,9152.06,1081,0
32.0,2174.97,792.0,4.035,3.409,4922.235000000102,5895.24,9144.22,1080,0
33.0,2174.23,792.0,4.036,3.41,4922.359000000171,5895.36,9145.14,1079,0
34.0,2173.09,792.0,4.035,3.409,4915.3589999999385,5888.39,9145.16,1078,0
35.0,2171.66,789.594000000041,4.035,3.41,4915.360000000102,5881.38,9147.3,1077,0
36.0,2173.72,787.186999999918,4.017,3.629,4886.25,5859.0,9187.03,1076,0
37.0,2178.69,782.4069999998901,4.032,3.714,4901.28199999989,5874.28,9208.09,1075,0
38.0,2179.41,787.188000000082,4.034,3.412,4922.343999999808,5895.34,9185.38,1074,0
39.0,2176.31,787.2189999998081,4.034,3.41,4929.375,5895.34,9203.88,1073,0
40.0,2172.69,784.8129999998491,4.034,3.41,4915.28199999989,5888.28,9167.44,1072,0
41.0,2170.38,780.0,4.034,3.411,4908.375,5874.38,9187.38,1071,0
42.0,2167.03,780.0,4.033,3.412,4894.313000000082,5867.31,9156.94,1070,0
43.0,2165.72,780.0,4.033,3.412,4887.375,5860.38,9151.25,1069,0
44.0,2164.19,777.5930000001099,4.034,3.413,4887.375,5853.38,9162.38,1068,0
45.0,2161.75,775.2189999998081,4.033,3.413,4880.344000000041,5846.38,9131.47,1067,0
46.0,2159.78,775.186999999918,4.033,3.413,4873.312000000151,5839.31,9136.31,1066,0
47.0,2157.59,772.780999999959,4.033,3.414,4866.375,5832.38,9134.5,1065,0
48.0,2156.19,770.405999999959,4.033,3.415,4859.344000000041,5825.34,9141.66,1064,0
50.0,2152.91,768.0,4.032,3.415,4852.219000000041,5818.22,9118.38,1062,0
