cell_id,Cycle,Discharge Time (s),Decrement 3.6-3.4V (s),Max. Voltage Dischar. (V),Min. Voltage Charg. (V),Time at 4.15V (s),Time constant current (s),Charging time (s),RUL
cell_005,1,,,,,,,,1226
cell_005,2,2400.7086000000004,2.695300000000884,3.5892138,2.0335631,1376.9223,1981.9277,1981.9277,1225
cell_005,3,2462.2151999999987,2.7112999999992837,3.5893216,2.03338,1361.9063999999998,1981.9057000000014,1981.9057000000014,1224
cell_005,4,1200.5460999999996,2.7569000000001154,3.5900369,2.0308604,1346.8583999999992,1981.856199999998,1981.856199999998,1223
cell_005,5,2400.7029000000007,2.8268000000026916,3.5897489,2.0304475,1351.8355000000013,1981.843700000001,1981.843700000001,1222
cell_005,6,1200.5708999999988,2.9248999999980185,3.5893426,2.0304856,1371.8150999999998,1981.8221000000015,1981.8221000000015,1221
cell_005,7,1200.5683999999999,2.9343999999979076,3.5897241,2.0323739,1341.7324000000008,1981.7428,1981.7428,1220
cell_005,8,2400.7382999999973,2.801800000001009,3.5897861,2.0351605,1351.7018000000025,1981.7034000000021,1981.7034000000021,1219
cell_005,9,2400.744899999998,2.910400000000948,3.5894895,2.0315423,1376.6981000000014,1981.6962999999996,1981.6962999999996,1218
cell_005,10,1200.6002999999982,2.9475999999995395,3.5894332,2.0312076,1356.6953000000067,1981.6923999999997,1981.6923999999997,1217
cell_005,11,2400.7324999999983,2.990000000005466,3.589642,2.028667,1346.6791999999987,1981.6805999999997,1981.6805999999997,1216
cell_005,12,26867.100699999995,2.8683000000019376,3.5896983,2.0308404,1386.681700000001,1981.6826999999978,1981.6826999999978,1215
cell_005,13,2400.75940000001,2.8931999999915092,3.5892911,2.0293365,1561.6912999999913,1981.6913999999963,1981.6913999999963,1214
cell_005,14,1200.611799999999,2.963900000002724,3.5898681,2.0286965,1461.6867999999956,1981.682000000001,1981.682000000001,1213
cell_005,15,1200.6059999999998,2.88890000000535,3.5896831,2.0306983,1626.6104999999952,1981.6082000000026,1981.6082000000026,1212
cell_005,16,1200.6168999999934,2.880199999999604,3.5896325,2.0310044,1356.6346000000049,1981.636299999998,1981.636299999998,1211
cell_005,17,2400.7644,3.0136000000055674,3.5898156,2.02807,1346.606500000009,1981.6133000000118,1981.6133000000118,1210
cell_005,18,2461.951400000006,2.890499999994063,3.5895658,2.0279689,1346.537400000001,1981.542699999991,1981.542699999991,1209
cell_005,19,2400.758400000006,3.0445000000034383,3.58991,2.0274596,1361.4627000000037,1981.4603999999963,1981.4603999999963,1208
cell_005,20,1200.6437999999907,2.8959999999933927,3.5886302,2.0282598,1386.3889000000054,1981.3874000000071,1981.3874000000071,1207
cell_005,21,1200.6344999999997,3.0381999999950438,3.5883803,2.0321937,1376.3916000000024,1981.3966999999973,1981.3966999999973,1206
cell_005,22,1200.6269999999931,3.05120000000187,3.5895867,2.0272212,1376.333799999993,1981.3309000000008,1981.3309000000008,1205
cell_005,23,1200.632500000007,2.971200000000067,3.5895877,2.0301938,1351.3190999999933,1981.3270000000048,1981.3270000000048,1204
cell_005,24,1200.6371000000072,2.7223000000086017,3.5894532,2.0296416,1351.2636999999959,1981.2655999999988,1981.2655999999988,1203
cell_005,25,1200.6247000000003,3.0431999999998993,3.588635,2.0276074,1386.2687999999907,9.99999901978195e-05,1981.2716999999973,1202
cell_005,26,2400.786899999992,2.872099999993196,3.5896926,2.0278974,1356.2488000000012,1981.2551999999998,1981.2551999999998,1201
cell_005,27,1200.6451999999992,2.8628000000026077,3.5897231,2.0298848,1426.2639000000054,1981.2697999999946,1981.2697999999946,1200
cell_005,28,1200.62980000001,2.804000000003981,3.5894485,2.0270219,1536.2533000000114,1981.255400000009,1981.255400000009,1199
cell_005,29,2400.8070000000007,2.796900000001017,3.590055,2.0299439,1361.2535000000062,1981.2478000000121,1981.2478000000121,1198
