epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,49,,514.4575805664062,,,,,
0,99,,411.3794250488281,,,,,
0,149,,159.47918701171875,,,,,
0,199,,131.82858276367188,,,,,
0,214,,,161.3247833251953,2329179392.0,78.64530944824219,2.681380271911621,78.64530944824219
0,214,345.2690124511719,,,,,,
1,249,,57.9903678894043,,,,,
1,299,,43.85886001586914,,,,,
1,349,,44.555118560791016,,,,,
1,399,,47.13991165161133,,,,,
1,429,,,132.9770965576172,1388870144.0,58.49094772338867,2.7093045711517334,58.49094772338867
1,429,51.48643112182617,,,,,,
2,449,,27.300519943237305,,,,,
2,499,,39.281517028808594,,,,,
2,549,,40.88217544555664,,,,,
2,599,,43.31124496459961,,,,,
2,644,,,124.62752532958984,1157244800.0,54.98409652709961,2.6062748432159424,54.98409652709961
2,644,42.589290618896484,,,,,,
3,649,,28.55653953552246,,,,,
3,699,,40.208587646484375,,,,,
3,749,,36.80021667480469,,,,,
3,799,,47.275264739990234,,,,,
3,849,,46.41382598876953,,,,,
3,859,,,124.27017974853516,967174272.0,53.966957092285156,2.7135415077209473,53.966957092285156
3,859,42.41168975830078,,,,,,
4,899,,54.42637634277344,,,,,
4,949,,59.189456939697266,,,,,
4,999,,47.958866119384766,,,,,
4,1049,,26.98226547241211,,,,,
4,1074,,,120.76484680175781,860655296.0,54.69926071166992,2.5857725143432617,54.69926071166992
4,1074,39.07267761230469,,,,,,
5,1099,,42.231136322021484,,,,,
5,1149,,34.227210998535156,,,,,
5,1199,,54.03961181640625,,,,,
5,1249,,59.611392974853516,,,,,
5,1289,,,124.21952819824219,1113435648.0,53.422706604003906,2.726689100265503,53.422706604003906
5,1289,39.81132507324219,,,,,,
6,1299,,36.1108512878418,,,,,
6,1349,,47.841941833496094,,,,,
6,1399,,35.46953582763672,,,,,
6,1449,,31.013317108154297,,,,,
6,1499,,30.34077262878418,,,,,
6,1504,,,121.68898010253906,911537088.0,50.40910339355469,2.8873143196105957,50.40910339355469
6,1504,39.42708969116211,,,,,,
7,1549,,19.28702163696289,,,,,
7,1599,,36.13018035888672,,,,,
7,1649,,34.42268371582031,,,,,
7,1699,,48.312355041503906,,,,,
7,1719,,,115.43378448486328,1141299456.0,48.714439392089844,2.498156785964966,48.714439392089844
7,1719,38.22670364379883,,,,,,
8,1749,,46.42280197143555,,,,,
8,1799,,50.34840393066406,,,,,
8,1849,,50.806644439697266,,,,,
8,1899,,62.15807342529297,,,,,
8,1934,,,123.05168914794922,648340288.0,58.07905197143555,2.565481424331665,58.07905197143555
8,1934,40.56535339355469,,,,,,
9,1949,,42.41657257080078,,,,,
9,1999,,23.205434799194336,,,,,
9,2049,,27.000959396362305,,,,,
9,2099,,25.835954666137695,,,,,
9,2149,,35.58498001098633,,,,,
9,2149,,,114.92742919921875,748493824.0,49.70988464355469,2.641603469848633,49.70988464355469
9,2149,39.44832229614258,,,,,,
10,2199,,30.800434112548828,,,,,
10,2249,,29.830074310302734,,,,,
10,2299,,26.273284912109375,,,,,
10,2349,,38.32360076904297,,,,,
10,2364,,,120.2684555053711,574282112.0,51.293174743652344,2.827234983444214,51.293174743652344
10,2364,37.3983268737793,,,,,,
11,2399,,14.560928344726562,,,,,
11,2449,,26.694744110107422,,,,,
11,2499,,18.890541076660156,,,,,
11,2549,,27.782018661499023,,,,,
11,2579,,,115.0112533569336,1160849920.0,51.04709243774414,2.405923843383789,51.04709243774414
11,2579,37.75270462036133,,,,,,
