epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,49,,508.5804443359375,,,,,
0,99,,330.4263610839844,,,,,
0,149,,233.1053009033203,,,,,
0,199,,77.92195892333984,,,,,
0,214,,,35.337615966796875,238388144.0,41.44715118408203,0.4016949534416199,41.44715118408203
0,214,332.0266418457031,,,,,,
1,249,,29.522186279296875,,,,,
1,299,,23.610502243041992,,,,,
1,349,,22.205486297607422,,,,,
1,399,,19.457698822021484,,,,,
1,429,,,23.8524227142334,568814400.0,32.65247344970703,0.3312741219997406,32.65247344970703
1,429,27.021648406982422,,,,,,
2,449,,14.26528549194336,,,,,
2,499,,15.511699676513672,,,,,
2,549,,19.12091827392578,,,,,
2,599,,15.718509674072266,,,,,
2,644,,,21.6270809173584,400647936.0,30.65956687927246,0.32287079095840454,30.65956687927246
2,644,18.05143165588379,,,,,,
3,649,,16.86260414123535,,,,,
3,699,,13.711319923400879,,,,,
3,749,,12.616456031799316,,,,,
3,799,,10.364592552185059,,,,,
3,849,,10.90665340423584,,,,,
3,859,,,14.465829849243164,91337920.0,15.903348922729492,0.28181666135787964,15.903348922729492
3,859,13.592134475708008,,,,,,
4,899,,8.826380729675293,,,,,
4,949,,18.633686065673828,,,,,
4,999,,14.505061149597168,,,,,
4,1049,,13.240861892700195,,,,,
4,1074,,,16.833206176757812,91151744.0,18.316898345947266,0.2930089831352234,18.316898345947266
4,1074,12.203410148620605,,,,,,
5,1099,,15.502620697021484,,,,,
5,1149,,9.613574028015137,,,,,
5,1199,,11.417759895324707,,,,,
5,1249,,12.816554069519043,,,,,
5,1289,,,14.637246131896973,122877136.0,16.281291961669922,0.29102832078933716,16.281291961669922
5,1289,13.255349159240723,,,,,,
6,1299,,7.721214294433594,,,,,
6,1349,,8.387004852294922,,,,,
6,1399,,11.383121490478516,,,,,
6,1449,,119.24349212646484,,,,,
6,1499,,17.611923217773438,,,,,
6,1504,,,18.01766586303711,97454792.0,26.6326961517334,0.32123619318008423,26.6326961517334
6,1504,22.723766326904297,,,,,,
7,1549,,7.483848571777344,,,,,
7,1599,,14.738248825073242,,,,,
7,1649,,12.363097190856934,,,,,
7,1699,,12.370842933654785,,,,,
7,1719,,,16.07115364074707,105392648.0,22.694583892822266,0.3277662396430969,22.694583892822266
7,1719,12.960262298583984,,,,,,
8,1749,,14.538736343383789,,,,,
8,1799,,13.220751762390137,,,,,
8,1849,,12.484992980957031,,,,,
8,1899,,6.496417999267578,,,,,
8,1934,,,10.975370407104492,50576960.0,15.843286514282227,0.2672024965286255,15.843286514282227
8,1934,9.661511421203613,,,,,,
9,1949,,6.566505432128906,,,,,
9,1999,,4.770388126373291,,,,,
9,2049,,6.036688327789307,,,,,
9,2099,,6.604617595672607,,,,,
9,2149,,7.512135982513428,,,,,
9,2149,,,12.262816429138184,51243132.0,13.993085861206055,0.2664814293384552,13.993085861206055
9,2149,8.787177085876465,,,,,,
10,2199,,12.659808158874512,,,,,
10,2249,,8.739760398864746,,,,,
10,2299,,5.415215492248535,,,,,
10,2349,,11.56328010559082,,,,,
10,2364,,,10.961736679077148,93550384.0,12.680761337280273,0.26075559854507446,12.680761337280273
10,2364,8.103680610656738,,,,,,
11,2399,,6.48056697845459,,,,,
11,2449,,5.602078914642334,,,,,
11,2499,,6.798412799835205,,,,,
11,2549,,4.81820011138916,,,,,
11,2579,,,18.71001625061035,446488736.0,29.426258087158203,0.2858526408672333,29.426258087158203
11,2579,7.910478591918945,,,,,,
12,2599,,7.363150119781494,,,,,
12,2649,,9.079838752746582,,,,,
12,2699,,9.12199878692627,,,,,
12,2749,,5.1583075523376465,,,,,
12,2794,,,9.28170108795166,55291816.0,10.872392654418945,0.25400641560554504,10.872392654418945
12,2794,8.021917343139648,,,,,,
13,2799,,7.771271228790283,,,,,
13,2849,,7.768606662750244,,,,,
13,2899,,7.316263675689697,,,,,
13,2949,,5.6027607917785645,,,,,
13,2999,,8.11771011352539,,,,,
13,3009,,,9.512341499328613,37500240.0,11.42855167388916,0.2413713037967682,11.42855167388916
13,3009,7.439074993133545,,,,,,
14,3049,,6.705874443054199,,,,,
14,3099,,7.581473350524902,,,,,
14,3149,,6.062519550323486,,,,,
14,3199,,6.599267482757568,,,,,
14,3224,,,10.718957901000977,64344068.0,12.457207679748535,0.2471316158771515,12.457207679748535
14,3224,7.405997276306152,,,,,,
15,3249,,8.695691108703613,,,,,
15,3299,,6.384028434753418,,,,,
15,3349,,7.260061264038086,,,,,
15,3399,,6.018277168273926,,,,,
15,3439,,,11.9837646484375,73033600.0,13.574671745300293,0.26114794611930847,13.574671745300293
15,3439,7.423900604248047,,,,,,
16,3449,,6.144545555114746,,,,,
16,3499,,7.807903289794922,,,,,
16,3549,,6.79446268081665,,,,,
16,3599,,6.813318252563477,,,,,
16,3649,,8.579391479492188,,,,,
16,3654,,,12.185070037841797,55092600.0,17.890954971313477,0.3009887635707855,17.890954971313477
16,3654,7.528176784515381,,,,,,
17,3699,,4.863851070404053,,,,,
17,3749,,7.45662784576416,,,,,
17,3799,,7.507474899291992,,,,,
17,3849,,6.682261943817139,,,,,
17,3869,,,10.817289352416992,56002540.0,12.630207061767578,0.26645660400390625,12.630207061767578
17,3869,6.565066814422607,,,,,,
