epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,49,,517.7116088867188,,,,,
0,99,,350.3845520019531,,,,,
0,149,,195.61080932617188,,,,,
0,199,,142.11830139160156,,,,,
0,214,,,268.4269714355469,1978433408.0,133.74192810058594,4.018441677093506,133.74192810058594
0,214,374.6095886230469,,,,,,
1,249,,77.76383972167969,,,,,
1,299,,43.922813415527344,,,,,
1,349,,31.061527252197266,,,,,
1,399,,43.80973434448242,,,,,
1,429,,,177.5411834716797,2398532608.0,66.19185638427734,3.582857370376587,66.19185638427734
1,429,59.43718719482422,,,,,,
2,449,,42.38479995727539,,,,,
2,499,,29.292415618896484,,,,,
2,549,,55.86943435668945,,,,,
2,599,,37.68626403808594,,,,,
2,644,,,134.7483673095703,1969944320.0,50.79038619995117,3.173349380493164,50.79038619995117
2,644,41.850257873535156,,,,,,
3,649,,33.0355110168457,,,,,
3,699,,29.07891273498535,,,,,
3,749,,40.8310661315918,,,,,
3,799,,23.54877281188965,,,,,
3,849,,26.537513732910156,,,,,
3,859,,,119.21348571777344,1164553856.0,46.6976203918457,3.0675134658813477,46.6976203918457
3,859,37.4189453125,,,,,,
4,899,,37.14036178588867,,,,,
4,949,,16.93014144897461,,,,,
4,999,,24.147974014282227,,,,,
4,1049,,19.469884872436523,,,,,
4,1074,,,114.77144622802734,683772864.0,45.52312088012695,3.270444631576538,45.52312088012695
4,1074,36.45423889160156,,,,,,
5,1099,,31.358732223510742,,,,,
5,1149,,21.625890731811523,,,,,
5,1199,,32.52294921875,,,,,
5,1249,,29.84300422668457,,,,,
5,1289,,,128.80638122558594,648912128.0,50.10993576049805,3.5675783157348633,50.10993576049805
5,1289,31.259815216064453,,,,,,
6,1299,,22.83833122253418,,,,,
6,1349,,42.21761703491211,,,,,
6,1399,,32.15194320678711,,,,,
6,1449,,28.700347900390625,,,,,
6,1499,,27.40701675415039,,,,,
6,1504,,,151.40684509277344,1237552512.0,55.193763732910156,3.5219779014587402,55.193763732910156
6,1504,33.79188537597656,,,,,,
7,1549,,34.5729866027832,,,,,
7,1599,,16.658571243286133,,,,,
7,1649,,38.74078369140625,,,,,
7,1699,,25.802513122558594,,,,,
7,1719,,,129.5792694091797,834472576.0,47.06596374511719,3.592951536178589,47.06596374511719
7,1719,36.412986755371094,,,,,,
8,1749,,16.458629608154297,,,,,
8,1799,,53.57090759277344,,,,,
8,1849,,336.1046142578125,,,,,
8,1899,,443.26275634765625,,,,,
8,1934,,,214.0785369873047,2426029312.0,99.46996307373047,4.061174392700195,99.46996307373047
8,1934,124.38201141357422,,,,,,
9,1949,,50.69669723510742,,,,,
9,1999,,434.3243408203125,,,,,
9,2049,,35.816810607910156,,,,,
9,2099,,28.30341911315918,,,,,
9,2149,,42.84138488769531,,,,,
9,2149,,,123.14253997802734,1533863168.0,48.1618537902832,3.083477258682251,48.1618537902832
9,2149,77.62293243408203,,,,,,
