epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_balanced_source_norm_rmse,val_hnei_rmse,val_loss,val_nasa_rmse
0,49,,431.5224914550781,,,,,,,,
0,99,,328.3060302734375,,,,,,,,
0,149,,241.56008911132812,,,,,,,,
0,199,,166.5451202392578,,,,,,,,
0,215,,,200.21087646484375,1475543936.0,117.31470489501953,3.4477345943450928,0.16590674221515656,161.4280548095703,117.31470489501953,36.13877487182617
0,215,326.15179443359375,,,,,,,,,
1,249,,113.00232696533203,,,,,,,,
1,299,,88.82481384277344,,,,,,,,
1,349,,74.46125793457031,,,,,,,,
1,399,,68.92317199707031,,,,,,,,
1,431,,,114.0130615234375,918916416.0,50.96780014038086,2.9347944259643555,0.08304481953382492,35.4461555480957,50.96780014038086,26.11524772644043
1,431,88.46084594726562,,,,,,,,,
2,449,,61.30434036254883,,,,,,,,
2,499,,55.84220504760742,,,,,,,,
2,549,,72.55445098876953,,,,,,,,
2,599,,40.3211784362793,,,,,,,,
2,647,,,125.99552154541016,857928768.0,52.2513427734375,3.3950815200805664,0.09988640993833542,25.11628532409668,52.2513427734375,34.511348724365234
2,647,54.40439987182617,,,,,,,,,
3,649,,47.36517333984375,,,,,,,,
3,699,,39.38523864746094,,,,,,,,
3,749,,48.31270217895508,,,,,,,,
3,799,,39.41709518432617,,,,,,,,
3,849,,35.98644256591797,,,,,,,,
3,863,,,110.5681381225586,619955200.0,47.1644287109375,3.121825695037842,0.09207785874605179,19.56995964050293,47.1644287109375,32.44744110107422
3,863,46.136165618896484,,,,,,,,,
4,899,,39.94391632080078,,,,,,,,
4,949,,29.12314796447754,,,,,,,,
4,999,,44.756797790527344,,,,,,,,
4,1049,,44.02704620361328,,,,,,,,
4,1079,,,100.04981231689453,838860352.0,41.73251724243164,2.6880979537963867,0.07385644316673279,20.7609920501709,41.73251724243164,25.130332946777344
4,1079,39.5367317199707,,,,,,,,,
5,1099,,36.38098907470703,,,,,,,,
5,1149,,45.17976379394531,,,,,,,,
5,1199,,54.73149871826172,,,,,,,,
5,1249,,42.93370056152344,,,,,,,,
5,1295,,,98.17013549804688,743361792.0,42.93140411376953,2.6721577644348145,0.08484595268964767,17.42609405517578,42.93140411376953,30.006357192993164
5,1295,43.96750259399414,,,,,,,,,
6,1299,,40.39986801147461,,,,,,,,
6,1349,,38.097225189208984,,,,,,,,
6,1399,,40.35054397583008,,,,,,,,
6,1449,,39.66220474243164,,,,,,,,
6,1499,,42.54438781738281,,,,,,,,
6,1511,,,116.66573333740234,360810400.0,57.59672927856445,3.3576695919036865,0.10198661684989929,39.84836196899414,57.59672927856445,32.723575592041016
6,1511,42.0391845703125,,,,,,,,,
7,1549,,47.30712890625,,,,,,,,
7,1599,,42.92512512207031,,,,,,,,
7,1649,,35.52250289916992,,,,,,,,
7,1699,,39.52867126464844,,,,,,,,
7,1727,,,96.77494049072266,171338976.0,51.91749572753906,3.541707754135132,0.09947699308395386,61.794044494628906,51.91749572753906,27.86151123046875
7,1727,39.0044059753418,,,,,,,,,
8,1749,,39.44493865966797,,,,,,,,
8,1799,,34.94569778442383,,,,,,,,
8,1849,,32.949790954589844,,,,,,,,
8,1899,,42.22037124633789,,,,,,,,
8,1943,,,87.62987518310547,772178176.0,36.175254821777344,2.427234649658203,0.07520095258951187,10.787127494812012,36.175254821777344,27.41957664489746
8,1943,34.86573791503906,,,,,,,,,
9,1949,,26.12734031677246,,,,,,,,
9,1999,,25.405012130737305,,,,,,,,
9,2049,,33.41609191894531,,,,,,,,
9,2099,,25.760217666625977,,,,,,,,
9,2149,,31.81145477294922,,,,,,,,
9,2159,,,101.52215576171875,517657248.0,44.21217727661133,2.98435640335083,0.0923408791422844,15.888311386108398,44.21217727661133,33.20149230957031
9,2159,32.306663513183594,,,,,,,,,
