epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,49,,498.2539367675781,,,,,
0,99,,336.8756408691406,,,,,
0,149,,229.79977416992188,,,,,
0,199,,76.47222137451172,,,,,
0,220,,,185.37705993652344,2317042944.0,223.15704345703125,0.6230337619781494,223.15704345703125
0,220,328.3347473144531,,,,,,
1,249,,207.36830139160156,,,,,
1,299,,47.5242919921875,,,,,
1,349,,33.85624694824219,,,,,
1,399,,23.23819923400879,,,,,
1,441,,,67.5381088256836,2159595776.0,83.27452850341797,0.5115565061569214,83.27452850341797
1,441,64.51105499267578,,,,,,
2,449,,18.630847930908203,,,,,
2,499,,24.364051818847656,,,,,
2,549,,20.52759552001953,,,,,
2,599,,22.932235717773438,,,,,
2,649,,12.957891464233398,,,,,
2,662,,,51.819149017333984,2206882048.0,73.64797973632812,0.4024266004562378,73.64797973632812
2,662,22.528018951416016,,,,,,
3,699,,20.451133728027344,,,,,
3,749,,14.797127723693848,,,,,
3,799,,16.900968551635742,,,,,
3,849,,17.80314064025879,,,,,
3,883,,,72.43478393554688,2249306624.0,95.548095703125,0.5957762002944946,95.548095703125
3,883,18.9089412689209,,,,,,
4,899,,16.375879287719727,,,,,
4,949,,21.26933479309082,,,,,
4,999,,12.539916038513184,,,,,
4,1049,,12.284073829650879,,,,,
4,1099,,16.437274932861328,,,,,
4,1104,,,98.09393310546875,1484858880.0,127.73992156982422,0.4587225914001465,127.73992156982422
4,1104,17.819669723510742,,,,,,
5,1149,,22.06414031982422,,,,,
5,1199,,28.075817108154297,,,,,
5,1249,,14.889776229858398,,,,,
5,1299,,10.44624137878418,,,,,
5,1325,,,35.633575439453125,1100627712.0,50.756324768066406,0.47583335638046265,50.756324768066406
5,1325,26.58943748474121,,,,,,
6,1349,,22.511369705200195,,,,,
6,1399,,22.4132137298584,,,,,
6,1449,,22.033462524414062,,,,,
6,1499,,18.924072265625,,,,,
6,1546,,,32.655609130859375,565632704.0,41.966278076171875,0.4502706527709961,41.966278076171875
6,1546,22.753419876098633,,,,,,
7,1549,,27.186195373535156,,,,,
7,1599,,120.2829818725586,,,,,
7,1649,,17.59407615661621,,,,,
7,1699,,19.613800048828125,,,,,
7,1749,,12.525945663452148,,,,,
7,1767,,,17.301359176635742,264668688.0,19.561729431152344,0.40152862668037415,19.561729431152344
7,1767,36.1136360168457,,,,,,
8,1799,,16.773998260498047,,,,,
8,1849,,20.10103988647461,,,,,
8,1899,,23.536727905273438,,,,,
8,1949,,15.383065223693848,,,,,
8,1988,,,15.039758682250977,219617632.0,17.097745895385742,0.39370712637901306,17.097745895385742
8,1988,15.832036972045898,,,,,,
9,1999,,9.735395431518555,,,,,
9,2049,,13.302471160888672,,,,,
9,2099,,16.60560417175293,,,,,
9,2149,,13.927286148071289,,,,,
9,2199,,9.78663158416748,,,,,
9,2209,,,21.415571212768555,240718160.0,28.99349594116211,0.40924233198165894,28.99349594116211
9,2209,14.883322715759277,,,,,,
10,2249,,13.388404846191406,,,,,
10,2299,,15.282756805419922,,,,,
10,2349,,10.08806037902832,,,,,
10,2399,,20.54105567932129,,,,,
10,2430,,,35.370243072509766,1123826048.0,43.907833099365234,0.43428099155426025,43.907833099365234
10,2430,15.916196823120117,,,,,,
11,2449,,14.226815223693848,,,,,
11,2499,,14.69930362701416,,,,,
11,2549,,12.064948081970215,,,,,
11,2599,,9.558610916137695,,,,,
11,2649,,12.619512557983398,,,,,
11,2651,,,22.849143981933594,228082128.0,30.616729736328125,0.4265994429588318,30.616729736328125
11,2651,14.231961250305176,,,,,,
12,2699,,10.112521171569824,,,,,
12,2749,,10.845815658569336,,,,,
12,2799,,12.420886993408203,,,,,
12,2849,,14.480846405029297,,,,,
12,2872,,,19.39414405822754,308778304.0,26.876020431518555,0.39618197083473206,26.876020431518555
12,2872,12.480957984924316,,,,,,
13,2899,,12.930769920349121,,,,,
13,2949,,6.577259063720703,,,,,
13,2999,,21.057781219482422,,,,,
13,3049,,9.13386058807373,,,,,
13,3093,,,23.160720825195312,353672288.0,29.167098999023438,0.48105430603027344,29.167098999023438
13,3093,9.66934585571289,,,,,,
