epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,49,,475.44207763671875,,,,,
0,99,,341.4610290527344,,,,,
0,149,,168.54135131835938,,,,,
0,185,,,79.43038177490234,1.6508904695510864,82.93728637695312,0.2669025957584381,82.93728637695312
0,185,355.25823974609375,,,,,,
1,199,,97.06130981445312,,,,,
1,249,,99.89977264404297,,,,,
1,299,,73.46855926513672,,,,,
1,349,,72.34727478027344,,,,,
1,371,,,104.95115661621094,0.8851385116577148,106.99241638183594,0.36765560507774353,106.99241638183594
1,371,86.10350799560547,,,,,,
2,399,,53.36385726928711,,,,,
2,449,,47.33002471923828,,,,,
2,499,,34.56947326660156,,,,,
2,549,,28.320575714111328,,,,,
2,557,,,105.46637725830078,0.5602123737335205,107.36181640625,0.3872162997722626,107.36181640625
2,557,46.76937484741211,,,,,,
3,599,,32.57935333251953,,,,,
3,649,,34.48026657104492,,,,,
3,699,,31.968313217163086,,,,,
3,743,,,121.09501647949219,0.6218364238739014,122.73627471923828,0.4499674439430237,122.73627471923828
3,743,34.59011459350586,,,,,,
4,749,,33.18083953857422,,,,,
4,799,,35.27875518798828,,,,,
4,849,,31.318134307861328,,,,,
4,899,,37.55398941040039,,,,,
4,929,,,106.83545684814453,0.6321544051170349,108.45759582519531,0.40113139152526855,108.45759582519531
4,929,31.190847396850586,,,,,,
5,949,,26.547487258911133,,,,,
5,999,,24.55200958251953,,,,,
5,1049,,21.055540084838867,,,,,
5,1099,,24.453584671020508,,,,,
5,1115,,,111.06277465820312,0.7154011130332947,112.4301528930664,0.38157016038894653,112.4301528930664
5,1115,25.785053253173828,,,,,,
