epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,9,,0.5486941337585449,,,,,
0,19,,0.5717825889587402,,,,,
0,29,,0.5776212215423584,,,,,
0,39,,0.6009616255760193,,,,,
0,49,,0.5743163228034973,,,,,
0,49,,,0.47251757979393005,7116.67822265625,0.4815608859062195,1.838502287864685,0.4815608859062195
0,49,0.5596230626106262,,,,,,
1,59,,0.5381549596786499,,,,,
1,69,,0.491875022649765,,,,,
1,79,,0.5032610893249512,,,,,
1,89,,0.4985719621181488,,,,,
1,99,,0.5440976023674011,,,,,
1,99,,,0.4568752944469452,22882.2890625,0.4656720459461212,1.6356627941131592,0.4656720459461212
1,99,0.5457029342651367,,,,,,
2,109,,0.5217007398605347,,,,,
2,119,,0.5624294281005859,,,,,
2,129,,0.5322758555412292,,,,,
2,139,,0.51045161485672,,,,,
2,149,,0.5636467337608337,,,,,
2,149,,,0.4418123960494995,38643.5,0.45018595457077026,1.4923884868621826,0.45018595457077026
2,149,0.5325562357902527,,,,,,
3,159,,0.5136711597442627,,,,,
3,169,,0.5484269261360168,,,,,
3,179,,0.4815376102924347,,,,,
3,189,,0.5090590119361877,,,,,
3,199,,0.47146642208099365,,,,,
3,199,,,0.42732149362564087,54409.68359375,0.43524160981178284,1.3776098489761353,0.43524160981178284
3,199,0.5186130404472351,,,,,,
4,209,,0.4950626790523529,,,,,
4,219,,0.465734601020813,,,,,
4,229,,0.4694184958934784,,,,,
4,239,,0.5429545640945435,,,,,
4,249,,0.5358426570892334,,,,,
4,249,,,0.4134213924407959,70163.265625,0.4208967685699463,1.2816283702850342,0.4208967685699463
4,249,0.5039445161819458,,,,,,
5,259,,0.49005281925201416,,,,,
5,269,,0.500528872013092,,,,,
5,279,,0.5026947259902954,,,,,
5,289,,0.5018262267112732,,,,,
5,299,,0.48900145292282104,,,,,
5,299,,,0.4001156985759735,85897.78125,0.40709948539733887,1.1995677947998047,0.40709948539733887
5,299,0.49039387702941895,,,,,,
