epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,7,,,0.3885238468647003,5070871.5,0.42505747079849243,0.7868196368217468,0.42505747079849243
0,7,0.6270958185195923,,,,,,
1,9,,0.564445436000824,,,,,
1,15,,,0.34132999181747437,4542044.0,0.37228578329086304,0.7500330209732056,0.37228578329086304
1,15,0.5614620447158813,,,,,,
2,19,,0.5492001175880432,,,,,
2,23,,,0.3068755567073822,4022908.5,0.3362198770046234,0.7243265509605408,0.3362198770046234
2,23,0.49346867203712463,,,,,,
3,29,,0.3935498297214508,,,,,
3,31,,,0.2859760820865631,3516271.75,0.3138926029205322,0.714165449142456,0.3138926029205322
3,31,0.4306372106075287,,,,,,
4,39,,0.3492449223995209,,,,,
4,39,,,0.27718138694763184,3024262.0,0.30166465044021606,0.7212672829627991,0.30166465044021606
4,39,0.3826623857021332,,,,,,
5,47,,,0.2796255052089691,2548676.25,0.300911009311676,0.749603271484375,0.300911009311676
5,47,0.3371383845806122,,,,,,
6,49,,0.3431119918823242,,,,,
6,55,,,0.29157644510269165,2082496.75,0.31413355469703674,0.8025708198547363,0.31413355469703674
6,55,0.3012548089027405,,,,,,
7,59,,0.30369213223457336,,,,,
7,63,,,0.3107275366783142,1641054.75,0.33895057439804077,0.8817369937896729,0.33895057439804077
7,63,0.2729561924934387,,,,,,
8,69,,0.24816802144050598,,,,,
8,71,,,0.3242473006248474,1380084.125,0.35682016611099243,0.9418051838874817,0.35682016611099243
8,71,0.26205122470855713,,,,,,
