epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,9,,0.5214674472808838,,,,,
0,10,,,0.2816242277622223,6642300.5,0.3162204325199127,0.8014963269233704,0.3162204325199127
0,10,0.4803427755832672,,,,,,
1,19,,0.45991355180740356,,,,,
1,21,,,0.2805650234222412,6613474.0,0.3151289224624634,0.8006969690322876,0.3151289224624634
1,21,0.47371724247932434,,,,,,
2,29,,0.42569655179977417,,,,,
2,32,,,0.2795148491859436,6584594.0,0.3140450119972229,0.7999081611633301,0.3140450119972229
2,32,0.47501203417778015,,,,,,
3,39,,0.5481724739074707,,,,,
3,43,,,0.2784653604030609,6555613.5,0.31296655535697937,0.7991229295730591,0.31296655535697937
3,43,0.4669121503829956,,,,,,
4,49,,0.40404871106147766,,,,,
4,54,,,0.2774161994457245,6526512.5,0.31189242005348206,0.798340380191803,0.31189242005348206
4,54,0.4669743478298187,,,,,,
5,59,,0.4973321855068207,,,,,
5,65,,,0.2763768136501312,6497568.0,0.31083187460899353,0.7975653409957886,0.31083187460899353
5,65,0.4680624306201935,,,,,,
