epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,9,,0.42109793424606323,,,,,
0,19,,0.45587411522865295,,,,,
0,29,,0.41865742206573486,,,,,
0,39,,0.5017626881599426,,,,,
0,49,,0.44151219725608826,,,,,
0,49,,,0.3790600597858429,238600.015625,0.38541266322135925,1.0856472253799438,0.38541266322135925
0,49,0.4501180350780487,,,,,,
1,59,,0.4572296142578125,,,,,
1,69,,0.47339990735054016,,,,,
1,79,,0.4400402903556824,,,,,
1,89,,0.4229837954044342,,,,,
1,99,,0.4587898850440979,,,,,
1,99,,,0.3729417026042938,254673.953125,0.37902185320854187,1.0559711456298828,0.37902185320854187
1,99,0.4448273181915283,,,,,,
2,109,,0.44851991534233093,,,,,
2,119,,0.36536914110183716,,,,,
2,129,,0.4303567111492157,,,,,
2,139,,0.4532098174095154,,,,,
2,149,,0.4491749405860901,,,,,
2,149,,,0.36697137355804443,270749.03125,0.37278255820274353,1.0279641151428223,0.37278255820274353
2,149,0.437511146068573,,,,,,
3,159,,0.4389531910419464,,,,,
3,169,,0.46958354115486145,,,,,
3,179,,0.4110008180141449,,,,,
3,189,,0.42350316047668457,,,,,
3,199,,0.4253142774105072,,,,,
3,199,,,0.3611621856689453,286789.15625,0.3667098581790924,1.0015612840652466,0.3667098581790924
3,199,0.43033215403556824,,,,,,
4,209,,0.4435262680053711,,,,,
4,219,,0.4224197268486023,,,,,
4,229,,0.44547563791275024,,,,,
4,239,,0.44165006279945374,,,,,
4,249,,0.40857061743736267,,,,,
4,249,,,0.35549166798591614,302861.65625,0.36077284812927246,0.9765466451644897,0.36077284812927246
4,249,0.4253569543361664,,,,,,
5,259,,0.41110748052597046,,,,,
5,269,,0.4379409849643707,,,,,
5,279,,0.38803187012672424,,,,,
5,289,,0.4073691666126251,,,,,
5,299,,0.445905476808548,,,,,
5,299,,,0.3499734699726105,318918.71875,0.35499241948127747,0.9528895020484924,0.35499241948127747
5,299,0.4183341860771179,,,,,,
