epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,9,,0.3553207814693451,,,,,
0,19,,0.38979679346084595,,,,,
0,29,,0.22964900732040405,,,,,
0,33,,,0.18073129653930664,4626236.5,0.19932106137275696,0.9189645648002625,0.19932106137275696
0,33,0.32798993587493896,,,,,,
1,39,,0.24439534544944763,,,,,
1,49,,0.24089497327804565,,,,,
1,59,,0.2107522338628769,,,,,
1,67,,,0.17531882226467133,2208665.75,0.2113274186849594,1.105144739151001,0.2113274186849594
1,67,0.23664353787899017,,,,,,
2,69,,0.22343894839286804,,,,,
2,79,,0.19665159285068512,,,,,
2,89,,0.1958872228860855,,,,,
2,99,,0.2009427398443222,,,,,
2,101,,,0.13984861969947815,1585130.375,0.15996937453746796,0.9209834933280945,0.15996937453746796
2,101,0.21757632493972778,,,,,,
3,109,,0.25694403052330017,,,,,
3,119,,0.2403031438589096,,,,,
3,129,,0.20611664652824402,,,,,
3,135,,,0.14623092114925385,2552490.0,0.16758975386619568,0.8476852774620056,0.16758975386619568
3,135,0.21354617178440094,,,,,,
4,139,,0.16828027367591858,,,,,
4,149,,0.24106690287590027,,,,,
4,159,,0.2245016098022461,,,,,
4,169,,0.20229309797286987,,,,,
4,169,,,0.1305600255727768,994474.3125,0.15246917307376862,0.9386226534843445,0.15246917307376862
4,169,0.22565947473049164,,,,,,
5,179,,0.20244599878787994,,,,,
5,189,,0.18495148420333862,,,,,
5,199,,0.1796402931213379,,,,,
5,203,,,0.1816747635602951,3681329.0,0.2052515149116516,0.8998504877090454,0.2052515149116516
5,203,0.1903311014175415,,,,,,
6,209,,0.18426518142223358,,,,,
6,219,,0.21686764061450958,,,,,
6,229,,0.1653297245502472,,,,,
6,237,,,0.11533084511756897,1185324.25,0.140388622879982,0.8068273663520813,0.140388622879982
6,237,0.1838236004114151,,,,,,
7,239,,0.1980099231004715,,,,,
7,249,,0.16448259353637695,,,,,
7,259,,0.13827276229858398,,,,,
7,269,,0.18053264915943146,,,,,
7,271,,,0.13695570826530457,1792868.125,0.16292740404605865,0.858158528804779,0.16292740404605865
7,271,0.1804809272289276,,,,,,
8,279,,0.1953328251838684,,,,,
8,289,,0.12508656084537506,,,,,
8,299,,0.21257255971431732,,,,,
8,305,,,0.16415159404277802,425136.0625,0.19426247477531433,1.3281818628311157,0.19426247477531433
8,305,0.16830971837043762,,,,,,
9,309,,0.1537019908428192,,,,,
9,319,,0.148306205868721,,,,,
9,329,,0.14905616641044617,,,,,
9,339,,0.15863998234272003,,,,,
9,339,,,0.1295453906059265,2312441.0,0.15405432879924774,0.800896942615509,0.15405432879924774
9,339,0.15338528156280518,,,,,,
