epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,49,,499.3231506347656,,,,,
0,99,,315.31781005859375,,,,,
0,149,,186.16209411621094,,,,,
0,199,,74.710205078125,,,,,
0,220,,,44.89594650268555,627909568.0,53.843753814697266,0.47959262132644653,53.843753814697266
0,220,327.1943664550781,,,,,,
1,249,,41.349098205566406,,,,,
1,299,,37.34830856323242,,,,,
1,349,,32.239017486572266,,,,,
1,399,,29.55010414123535,,,,,
1,441,,,24.88838005065918,170891632.0,29.79892921447754,0.49819374084472656,29.79892921447754
1,441,40.049251556396484,,,,,,
2,449,,129.4266815185547,,,,,
2,499,,25.907209396362305,,,,,
2,549,,21.033287048339844,,,,,
2,599,,32.741180419921875,,,,,
2,649,,25.73279571533203,,,,,
2,662,,,22.588104248046875,435337632.0,28.317270278930664,0.4007438123226166,28.317270278930664
2,662,31.894676208496094,,,,,,
3,699,,20.892789840698242,,,,,
3,749,,19.433273315429688,,,,,
3,799,,17.038524627685547,,,,,
3,849,,25.683059692382812,,,,,
3,883,,,18.720428466796875,369669024.0,26.7359619140625,0.3808003067970276,26.7359619140625
3,883,21.414255142211914,,,,,,
4,899,,21.696969985961914,,,,,
4,949,,23.05709457397461,,,,,
4,999,,16.465303421020508,,,,,
4,1049,,18.344711303710938,,,,,
4,1099,,20.054906845092773,,,,,
4,1104,,,23.453157424926758,554975808.0,36.56528854370117,0.40530169010162354,36.56528854370117
4,1104,22.979713439941406,,,,,,
5,1149,,22.21192169189453,,,,,
5,1199,,14.038606643676758,,,,,
5,1249,,17.372360229492188,,,,,
5,1299,,18.963773727416992,,,,,
5,1325,,,18.262468338012695,188303616.0,25.10506820678711,0.430472731590271,25.10506820678711
5,1325,19.661537170410156,,,,,,
6,1349,,15.813135147094727,,,,,
6,1399,,34.034610748291016,,,,,
6,1449,,13.395112037658691,,,,,
6,1499,,14.552370071411133,,,,,
6,1546,,,19.508180618286133,151891248.0,21.832782745361328,0.43775996565818787,21.832782745361328
6,1546,17.938716888427734,,,,,,
7,1549,,15.70559310913086,,,,,
7,1599,,14.950255393981934,,,,,
7,1649,,12.39192008972168,,,,,
7,1699,,15.554180145263672,,,,,
7,1749,,18.787267684936523,,,,,
7,1767,,,30.777318954467773,1037816832.0,42.01087188720703,0.3626856505870819,42.01087188720703
7,1767,17.016159057617188,,,,,,
8,1799,,17.597660064697266,,,,,
8,1849,,19.023374557495117,,,,,
8,1899,,27.293386459350586,,,,,
8,1949,,14.306899070739746,,,,,
8,1988,,,15.463714599609375,110570288.0,17.369956970214844,0.3803112506866455,17.369956970214844
8,1988,19.204490661621094,,,,,,
9,1999,,18.61139488220215,,,,,
9,2049,,11.9524564743042,,,,,
9,2099,,15.563481330871582,,,,,
9,2149,,20.003101348876953,,,,,
9,2199,,236.0069580078125,,,,,
9,2209,,,68.82073974609375,1449143296.0,86.43142700195312,0.512782633304596,86.43142700195312
9,2209,34.56419372558594,,,,,,
10,2249,,117.57279968261719,,,,,
10,2299,,156.8668975830078,,,,,
10,2349,,29.916059494018555,,,,,
10,2399,,71.76524353027344,,,,,
10,2430,,,39.1186408996582,717816000.0,49.13509750366211,0.40092381834983826,49.13509750366211
10,2430,96.549560546875,,,,,,
11,2449,,25.67438507080078,,,,,
11,2499,,13.861381530761719,,,,,
11,2549,,17.162940979003906,,,,,
11,2599,,12.536206245422363,,,,,
11,2649,,10.863443374633789,,,,,
11,2651,,,27.335031509399414,220319376.0,35.5294189453125,0.3917679190635681,35.5294189453125
11,2651,24.061716079711914,,,,,,
12,2699,,13.848236083984375,,,,,
12,2749,,15.071969985961914,,,,,
12,2799,,14.981070518493652,,,,,
12,2849,,9.879111289978027,,,,,
12,2872,,,14.93235969543457,218411872.0,19.526308059692383,0.3762977421283722,19.526308059692383
12,2872,14.610161781311035,,,,,,
13,2899,,9.951539039611816,,,,,
13,2949,,13.427857398986816,,,,,
13,2999,,11.95767593383789,,,,,
13,3049,,6.671478748321533,,,,,
13,3093,,,16.92837142944336,204986816.0,19.817564010620117,0.40763068199157715,19.817564010620117
13,3093,11.086487770080566,,,,,,
